capture_order,sequence_id,scenario_id,record_role,target,expected_sequence_result,master_filename,master_duration_s,formal_windows,direction_or_variant,manual_acceptance,status,rejection_reason,parent_sha256,asset_sha256_manifest_path,hash_verification_status
15,SV15F-NEG-NR-03,NEG_NORMAL_RISE_WALK,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-NR-03-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,自然起身_左向右,每段自然起身_正常对称行走至少6周期_无摇晃补偿步_T1T2不含起身,PENDING,,,,
16,SV15F-NEG-NR-04,NEG_NORMAL_RISE_WALK,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-NR-04-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,自然起身_右向左,每段自然起身_正常对称行走至少6周期_无摇晃补偿步_T1T2不含起身,PENDING,,,,
17,SV15F-NEG-FS-01,NEG_FAST_RISE_STABLE,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-FS-01-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,快速起身稳定_左向右,每段快速起身后稳定2秒_正常对称行走6周期_无补偿步_T1T2不含起身,PENDING,,,,
18,SV15F-NEG-FS-02,NEG_FAST_RISE_STABLE,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-FS-02-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,快速起身稳定_右向左,每段快速起身后稳定2秒_正常对称行走6周期_无补偿步_T1T2不含起身,PENDING,,,,
19,SV15F-NEG-FS-03,NEG_FAST_RISE_STABLE,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-FS-03-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,快速起身稳定_左向右,每段快速起身后稳定2秒_正常对称行走6周期_无补偿步_T1T2不含起身,PENDING,,,,
20,SV15F-NEG-FS-04,NEG_FAST_RISE_STABLE,TEST,NEGATIVE_CONTROL,NO_ORANGE_I1_I2_NO_TREND_T2,SV15F-NEG-FS-04-master.mp4,75,I1=00:03-00:28|I2=00:42-01:07|T1=00:10.5-00:22|T2=00:49.5-01:01,快速起身稳定_右向左,每段快速起身后稳定2秒_正常对称行走6周期_无补偿步_T1T2不含起身,PENDING,,,,
21,SV15F-NEG-NT-01,NEG_NEAR_THRESHOLD_NORMAL,TEST,NEGATIVE_CONTROL,NO_ORANGE_NO_TREND_ON_T2,SV15F-NEG-NT-01-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,日常偏慢_左向右,每窗口正常范围偏慢_对称行走至少6周期_无刻意摇晃,PENDING,,,,
22,SV15F-NEG-NT-02,NEG_NEAR_THRESHOLD_NORMAL,TEST,NEGATIVE_CONTROL,NO_ORANGE_NO_TREND_ON_T2,SV15F-NEG-NT-02-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,日常偏慢_右向左,每窗口正常范围偏慢_对称行走至少6周期_无刻意摇晃,PENDING,,,,
23,SV15F-NEG-NT-03,NEG_NEAR_THRESHOLD_NORMAL,TEST,NEGATIVE_CONTROL,NO_ORANGE_NO_TREND_ON_T2,SV15F-NEG-NT-03-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,日常偏慢_左向右,每窗口正常范围偏慢_对称行走至少6周期_无刻意摇晃,PENDING,,,,
24,SV15F-NEG-NT-04,NEG_NEAR_THRESHOLD_NORMAL,TEST,NEGATIVE_CONTROL,NO_ORANGE_NO_TREND_ON_T2,SV15F-NEG-NT-04-master.mp4,75,T1=00:03-00:28|T2=00:42-01:07,日常偏慢_右向左,每窗口正常范围偏慢_对称行走至少6周期_无刻意摇晃,PENDING,,,,
25,SV15F-QG-OC-01,QUALITY_OCCLUSION,QUALITY,QUALITY_GATE,PARTIAL_OR_INSUFFICIENT_NO_ORANGE,SV15F-QG-OC-01.mp4,20,Q1=00:00-00:20,核心人体被实心家具遮挡至少2.5秒,遮挡肩髋膝大部分_不是只挡脚_重新出现,PENDING,,,,
26,SV15F-QG-FO-01,QUALITY_FEET_OUT,QUALITY,QUALITY_GATE,PARTIAL_OR_INSUFFICIENT_NO_ORANGE,SV15F-QG-FO-01.mp4,20,Q1=00:00-00:20,双脚和双踝连续出画至少8秒,上半身与髋仍可见_原始构图真实出画,PENDING,,,,
27,SV15F-QG-LL-01,QUALITY_LOW_LIGHT,QUALITY,QUALITY_GATE,PARTIAL_OR_INSUFFICIENT_NO_ORANGE,SV15F-QG-LL-01.mp4,15,Q1=00:00-00:15,人物区域严重低照度,固定区域灰度中位数目标低于46且P10低于20_禁用自动红外补亮,PENDING,,,,
28,SV15F-QG-MP-01,QUALITY_MULTI_PERSON,QUALITY,QUALITY_GATE,PARTIAL_OR_INSUFFICIENT_NO_ORANGE,SV15F-QG-MP-01.mp4,20,Q1=00:00-00:20,第二人连续共同入镜至少4秒,两人相距至少1米且轮廓不重叠_不是探头或闪过,PENDING,,,,
