sequence_id,label,total_frames,detected_frames,valid_frame_ratio,step_speed,sway_frequency_hz,step_length_asymmetry_ratio,mean_core_visibility
adl-25-cam0-rgb,adl,55,55,1.0,0.03453408021556294,0.2754820936639119,0.2101763765371367,0.9949037046143502
adl-26-cam0-rgb,adl,48,28,0.5833333333333334,0.08924152366512085,0.6217187068250899,0.7319557047074217,0.9649364763782139
adl-27-cam0-rgb,adl,50,50,1.0,0.04326062764852808,0.303030303030303,0.18738563644467257,0.9929637507597604
adl-28-cam0-rgb,adl,43,43,1.0,0.04909143636865428,1.0570824524312896,0.3084940606921847,0.962964045909024
adl-29-cam0-rgb,adl,63,63,1.0,0.03948777075443206,0.48100048100048104,0.3268023608443982,0.9883611719444314
adl-30-cam0-rgb,adl,200,50,0.25,0.05821750944276601,0.303030303030303,0.5492058766167844,0.9468904588619868
adl-31-cam0-rgb,adl,125,31,0.248,0.07409149943574705,0.48875855327468215,0.5081414291268292,0.9835817772214133
adl-32-cam0-rgb,adl,100,38,0.38,0.06990524316107986,0.7974481658692187,0.6609261989617581,0.9855764991881557
adl-33-cam0-rgb,adl,100,46,0.46,0.05967000769983519,0.3293807641633729,0.38255692252323165,0.9538806959770731
adl-34-cam0-rgb,adl,96,20,0.20833333333333334,0.0981077458341907,0.7575757575757575,0.2117744455126386,0.9646991272767386
adl-35-cam0-rgb,adl,140,34,0.24285714285714285,0.025836391854818334,0.10579771476936096,0.5437191017485338,0.9430384720657384
adl-36-cam0-rgb,adl,170,68,0.4,0.08975369939558542,0.4868053940943966,0.10300206424598886,0.954930013885685
adl-37-cam0-rgb,adl,175,125,0.7142857142857143,0.07331732694271875,0.19146882841150348,0.15330808678666005,0.943959289709727
adl-38-cam0-rgb,adl,173,57,0.32947976878612717,0.07544525681713192,2.27069986213608,0.6228511557318972,0.9526320357768856
adl-39-cam0-rgb,adl,135,44,0.32592592592592595,0.04833349503905275,0.34435261707988984,0.5485693610202149,0.9532843114751756
adl-40-cam0-rgb,adl,165,57,0.34545454545454546,0.05315134933604439,0.2658160552897395,0.5419335169632791,0.9473077635667477
fall-01-cam0-rgb,fall,80,52,0.65,0.09565226315120358,0.5827505827505829,0.6920369953409121,0.9539770554655637
fall-02-cam0-rgb,fall,55,11,0.2,0.05263887330978129,1.377410468319559,0.2996839595924787,0.8972285805326521
fall-03-cam0-rgb,fall,108,93,0.8611111111111112,0.12613346683060017,0.1414018456014804,0.43397768787218016,0.9578586196173048
fall-04-cam0-rgb,fall,48,6,0.125,0.07716694571334248,0.0,0.3598419492600552,0.9177620510260264
fall-05-cam0-rgb,fall,76,52,0.6842105263157895,0.1454861685885943,0.8741258741258744,0.006898557226732808,0.9711048918274734
fall-06-cam0-rgb,fall,50,50,1.0,0.131679281375825,0.303030303030303,0.3974347336232149,0.9384451238314311
fall-07-cam0-rgb,fall,78,45,0.5769230769230769,0.11364030461461776,0.6734006734006736,0.38490644619342596,0.9429524267161337
fall-08-cam0-rgb,fall,46,7,0.15217391304347827,0.04309894556421218,0.0,0.0593896456132403,0.8829466047741118
fall-09-cam0-rgb,fall,93,68,0.7311827956989247,0.12073609114716219,0.4456327985739751,0.24027083276212688,0.9797246611001446
fall-10-cam0-rgb,fall,65,0,0.0,0.0,0.0,0.0,0.0
fall-11-cam0-rgb,fall,65,52,0.8,0.1397001850208324,0.2321896853146853,0.3914068270084482,0.9630260498095782
fall-12-cam0-rgb,fall,55,49,0.8909090909090909,0.12810905140492954,0.27485741771456057,0.013261313215688419,0.9420422416965978
fall-13-cam0-rgb,fall,43,37,0.8604651162790697,0.2768464173057747,0.39843283086526343,0.19016892293725784,0.9694933493932087
fall-14-cam0-rgb,fall,31,1,0.03225806451612903,0.0,0.0,0.06414458829842055,0.9021434783935547
fall-15-cam0-rgb,fall,36,23,0.6388888888888888,0.07813519061538109,0.6587615283267455,0.10732530403033677,0.9759758620158486
fall-16-cam0-rgb,fall,28,0,0.0,0.0,0.0,0.0,0.0
fall-17-cam0-rgb,fall,48,36,0.75,0.05329961160757562,0.42087542087542096,0.20125448617934774,0.9832989300290743
fall-18-cam0-rgb,fall,33,0,0.0,0.0,0.0,0.0,0.0
fall-19-cam0-rgb,fall,50,26,0.52,0.14690804764236223,0.5827505827505827,0.23442863963805516,0.9755044155395949
fall-20-cam0-rgb,fall,55,20,0.36363636363636365,0.04847657252707155,0.7575757575757575,0.3289735478454752,0.9139162575205166
fall-21-cam0-rgb,fall,28,24,0.8571428571428571,0.1689736831867921,1.8939393939393936,0.3312632323653401,0.9799122603403196
fall-22-cam0-rgb,fall,28,0,0.0,0.0,0.0,0.0,0.0
fall-23-cam0-rgb,fall,38,29,0.7631578947368421,0.17419932788643622,0.5044499693726804,0.26099861084823434,0.9663695463503916
fall-24-cam0-rgb,fall,30,0,0.0,0.0,0.0,0.0,0.0
fall-25-cam0-rgb,fall,43,36,0.8372093023255814,0.14825348394994214,0.42087542087542096,0.1401043098866541,0.9797175614922136
fall-26-cam0-rgb,fall,31,0,0.0,0.0,0.0,0.0,0.0
fall-27-cam0-rgb,fall,46,41,0.8913043478260869,0.151128488329236,0.36954915003695493,0.2876041268604504,0.9786544357373462
fall-28-cam0-rgb,fall,33,0,0.0,0.0,0.0,0.0,0.0
fall-29-cam0-rgb,fall,50,36,0.72,0.07584147576439865,0.42087542087542096,0.4858747766817784,0.9726148758221554
fall-30-cam0-rgb,fall,35,0,0.0,0.0,0.0,0.0,0.0
